index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
2797.0,Bubble Chart,2,Which city's metro system has the largest number of stations?,City F,Find extremum,"Which city's metro system has the largest number of stations?

(a) City E
(b) City A
(c) City F
(d) City C", (a),3.991650104522705,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
1479.0,Bubble Chart,7,The metro system in City F has more ridership than the metro system in City A.,True,Make comparisons,"The metro system in City F has more ridership than the metro system in City A.

(a) False
(b) True", (a),3.329353094100952,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
3329.0,Stacked Bar Chart,1,What is the cost of Product 3 in City B?,$4.00,Retrieve Value (absolute value),"What is the cost of Product 3 in City B?

(a) $9.50
(b) $12.00
(c) $9.00
(d) $4.00", (b),4.605035066604614,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
4132.0,100% Stacked Bar Chart,1,What is the approval rating of Party B among the people who have the education level of Postgraduate Study?,76%,Retrieve value (relative value),"What is the approval rating of Party B among the people who have the education level of Postgraduate Study?

(a) 31%
(b) 53%
(c) 47%
(d) 76%", (b),3.478260040283203,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
16.0,Bar Chart,4,How many countries in Asia is the average Internet speed slower than Country J?,8 countries,Make Comparisons,"How many countries in Asia is the average Internet speed slower than Country J?

(a) 6 countries
(b) 7 countries
(c) 8 countries
(d) 11 countries", (b),3.7982232570648193,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
496.0,Area Chart,4,"Over the course of 2013, the average price of a pound of Product A was ______.",rising,Find Correlations/Trends,"Over the course of 2013, the average price of a pound of Product A was ______.

(a) falling
(b) staying
(c) rising", (c),4.099353075027466,True,find correlations/trends,reVLAT_NoViz+Choices,ChatGPT
4232.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company E
(b) Company C
(c) Company F
(d) Others", (c),3.963129997253418,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
2819.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 50%
(b) 15%
(c) 33%
(d) 25%", (b),3.6848270893096924,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
3263.0,Area Chart,3,What was the range of the average price of a pound of Product A between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,"What was the range of the average price of a pound of Product A between January 2013 and December 2014?

(a) $4.62 - $6.01
(b) $4.42 - $6.21
(c) $4.43 - $6.22
(d) $4.65 - $6.17", (d),4.641533851623535,True,determine range,reVLAT_NoViz+Choices,ChatGPT
396.0,100% Stacked Bar Chart,1,What is the approval rating of Party B among the people who have the education level of Postgraduate Study?,76%,Retrieve value (relative value),"What is the approval rating of Party B among the people who have the education level of Postgraduate Study?

(a) 47%
(b) 53%
(c) 31%
(d) 76%", (b),3.469609022140503,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
716.0,Stacked Area Chart,5,The number of people named 'Name A' in 2014 was more than it was in 2013.,True,Make Comparisons (absolute value),"The number of people named 'Name A' in 2014 was more than it was in 2013.

(a) False
(b) True", (b),3.274731159210205,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
2854.0,Treemap,2,The number of unique visitors for AN was more than that of AC in 2010.,True,Make Comparisons (relative value),"The number of unique visitors for AN was more than that of AC in 2010.

(a) True
(b) False", (a),4.6692399978637695,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
90.0,Area Chart,3,What was the range of the average price of a pound of Product A between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,"What was the range of the average price of a pound of Product A between January 2013 and December 2014?

(a) $4.62 - $6.01
(b) $4.42 - $6.21
(c) $4.43 - $6.22
(d) $4.65 - $6.17", (d),3.933974027633667,True,determine range,reVLAT_NoViz+Choices,ChatGPT
3527.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) True
(b) False", (a),3.9945051670074463,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
1240.0,Treemap,2,The number of unique visitors for AN was more than that of AC in 2010.,True,Make Comparisons (relative value),"The number of unique visitors for AN was more than that of AC in 2010.

(a) True
(b) False", (a),3.9922847747802734,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
4741.0,Stacked Bar Chart,2,About what is the ratio of the cost of Product 5 to the total cost of room service in City J?,1 to 10,Retrieve Value (relative value),"About what is the ratio of the cost of Product 5 to the total cost of room service in City J?

(a) 1 to 5
(b) 4 to 10
(c) 1 to 4
(d) 1 to 10", (c),5.803945064544678,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
3239.0,100% Stacked Bar Chart,3,The approval rating of Party B for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,True,Make Comparisons (relative value),"The approval rating of Party B for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.

(a) True
(b) False", (a),3.3947110176086426,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
1885.0,Stacked Bar Chart,3,In which city is the cost of Product 2 the highest?,City G,Find Extremum,"In which city is the cost of Product 2 the highest?

(a) City G
(b) City D
(c) City E
(d) City A", (g),3.677053213119507,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
4445.0,Area Chart,2,When was the average price of a pound of Product A at minimum?,March 2013,Find Extremum,"When was the average price of a pound of Product A at minimum?

(a) March 2013
(b) June 2014
(c) September 2013
(d) October 2014", (a),4.182848930358887,True,find extremum,reVLAT_NoViz+Choices,ChatGPT
827.0,Stacked Area Chart,2,About what was the ratio of the number of people named 'Name A' to those named 'Name B' in 2014?,1 to 2,Retrieve Value (relative value),"About what was the ratio of the number of people named 'Name A' to those named 'Name B' in 2014?

(a) 1 to 3
(b) 1 to 4
(c) 1 to 2
(d) 1 to 1", (d),3.2970707416534424,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
2822.0,Stacked Bar Chart,3,In which city is the cost of Product 2 the highest?,City G,Find Extremum,"In which city is the cost of Product 2 the highest?

(a) City E
(b) City D
(c) City G
(d) City A", (c),3.793341875076294,True,find extremum,reVLAT_NoViz+Choices,ChatGPT
1406.0,Bubble Chart,5,A group of the metro systems of the world has approximately 200 stations and around a 200 km system length.,False,Find clusters,"A group of the metro systems of the world has approximately 200 stations and around a 200 km system length.

(a) True
(b) False", (b),3.4822580814361572,True,find clusters,reVLAT_NoViz+Choices,ChatGPT
