col,statistic,p-value
Line_Chart&retrieve_value,0.0,3.325859118934513e-165
Line_Chart,141554.0,1.210331548038098e-32
retrieve_value,0.0,3.325859118934513e-165
ChatGPT,0.0,3.325859118934513e-165
Line_Chart&ChatGPT,124658.0,5.264426149984121e-43
retrieve_value&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&retrieve_value&ChatGPT,0.0,3.325859118934513e-165
reVLAT_VizChoices&ChatGPT,2622.0,8.375902414353815e-162
Line_Chart&reVLAT_VizChoices&ChatGPT,5283.0,2.1788155361537864e-158
retrieve_value&reVLAT_VizChoices&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&retrieve_value&reVLAT_VizChoices&ChatGPT,45538.0,3.2688818157017366e-111
reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&reVLAT_NoVizChoices&ChatGPT,122.0,4.796767642360997e-165
retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Line_Chart&retrieve_value&reVLAT_NoVizChoices&ChatGPT,0.0,3.325859118934513e-165
Gemini,0.0,3.325859118934513e-165
Line_Chart&Gemini,123512.0,9.227102726079633e-44
retrieve_value&Gemini,0.0,3.325859118934513e-165
Line_Chart&retrieve_value&Gemini,0.0,3.325859118934513e-165
reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Line_Chart&reVLAT_VizChoices&Gemini,21665.0,3.5705689172596345e-138
retrieve_value&reVLAT_VizChoices&Gemini,0.0,3.325859118934513e-165
Line_Chart&retrieve_value&reVLAT_VizChoices&Gemini,135613.0,4.0540193824288415e-36
reVLAT_NoVizChoices&Gemini,11195.0,6.224860356569683e-151
Line_Chart&reVLAT_NoVizChoices&Gemini,20706.0,2.5574531183721906e-139
retrieve_value&reVLAT_NoVizChoices&Gemini,6.0,3.386316403653408e-165
Line_Chart&retrieve_value&reVLAT_NoVizChoices&Gemini,0.0,3.325859118934513e-165
reVLAT_VizChoices,0.0,3.325859118934513e-165
Line_Chart&reVLAT_VizChoices,650.0,2.3355118910011383e-164
retrieve_value&reVLAT_VizChoices,450.0,1.2828063431365983e-164
Line_Chart&retrieve_value&reVLAT_VizChoices,521.0,1.5869503772087576e-164
reVLAT_NoVizChoices,0.0,3.325859118934513e-165
