index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
1843.0,Bubble Chart,4,Which city's metro system does lie outside the relationship between the total system length and the number of stations most?,City G,Find anomalies,"Which city's metro system does lie outside the relationship between the total system length and the number of stations most?

(a) City D
(b) City G
(c) City C
(d) City A",(d),0.5472941398620605,False,find anomalies,reVLAT_NoViz+Choices,ChatGPT
1225.0,Treemap,3,AE is nested in the Computer category.,False,Identify the Hierarchical Structure,"AE is nested in the Computer category.

(a) True
(b) False",(b) False,1.1117579936981201,True,identify the hierarchical structure,reVLAT_NoViz+Choices,ChatGPT
3323.0,Stacked Bar Chart,3,In which city is the cost of Product 2 the highest?,City G,Find Extremum,"In which city is the cost of Product 2 the highest?

(a) City A
(b) City G
(c) City E
(d) City D",(b),0.7915201187133789,True,find extremum,reVLAT_NoViz+Choices,ChatGPT
1182.0,Line Chart,1,What was the price of a barrel of Product A in Feburary 2015?,$45.61,Retrieve Value,"What was the price of a barrel of Product A in Feburary 2015?

(a) $58.31
(b) $54.67
(c) $45.61
(d) $50.28",(c),2.453798294067383,True,retrieve value,reVLAT_NoViz+Choices,ChatGPT
4270.0,Stacked Area Chart,1,What was the number of people named 'Name A' in 2010?,"13,200",Retrieve Value (absolute value),"What was the number of people named 'Name A' in 2010?

(a) 13,200
(b) 23,800
(c) 3,500
(d) 9,800",(c),0.49489402770996094,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
4499.0,Bar Chart,2,In which country is the average internet speed the fastest?,Country K,Find Extremum,"In which country is the average internet speed the fastest?

(a) Country K
(b) Country A
(c) Country C
(d) Country N",(b),0.6459717750549316,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
4036.0,Bubble Chart,6,"In general, the ridership of the metro system increases as the number of stations increases.",True,Find correlations/trends,"In general, the ridership of the metro system increases as the number of stations increases.

(a) True
(b) False",(a),0.5615088939666748,True,find correlations/trends,reVLAT_NoViz+Choices,ChatGPT
3736.0,100% Stacked Bar Chart,3,The approval rating of Party B for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,True,Make Comparisons (relative value),"The approval rating of Party B for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.

(a) True
(b) False",(b),2.5386202335357666,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
2526.0,Stacked Bar Chart,4,The cost of Product 4 in City E is higher than that of City A.,False,Make Comparisons (absolute value),"The cost of Product 4 in City E is higher than that of City A.

(a) False
(b) True",(b),1.115724802017212,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
2183.0,Bubble Chart,2,Which city's metro system has the largest number of stations?,City F,Find extremum,"Which city's metro system has the largest number of stations?

(a) City C
(b) City F
(c) City E
(d) City A",(b),0.6252498626708984,True,find extremum,reVLAT_NoViz+Choices,ChatGPT
2799.0,Line Chart,5,About how much did the price of a barrel of Product A rise from June to September in 2015?,$20,Make Comparisons,"About how much did the price of a barrel of Product A rise from June to September in 2015?

(a) $20
(b) $8
(c) $45
(d) $15",(d),1.2672171592712402,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
1975.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) False
(b) True",(b),0.9033899307250977,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
1347.0,100% Stacked Bar Chart,3,The approval rating of Party B for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,True,Make Comparisons (relative value),"The approval rating of Party B for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.

(a) True
(b) False",(b),0.6872508525848389,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
414.0,Stacked Bar Chart,1,What is the cost of Product 3 in City B?,$4.00,Retrieve Value (absolute value),"What is the cost of Product 3 in City B?

(a) $9.00
(b) $12.00
(c) $9.50
(d) $4.00",(c),1.2567291259765625,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
90.0,Area Chart,3,What was the range of the average price of a pound of Product A between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,"What was the range of the average price of a pound of Product A between January 2013 and December 2014?

(a) $4.62 - $6.01
(b) $4.42 - $6.21
(c) $4.65 - $6.17
(d) $4.43 - $6.22",(c),0.6424717903137207,True,determine range,reVLAT_NoViz+Choices,ChatGPT
2574.0,Stacked Bar Chart,1,What is the cost of Product 3 in City B?,$4.00,Retrieve Value (absolute value),"What is the cost of Product 3 in City B?

(a) $12.00
(b) $9.50
(c) $4.00
(d) $9.00",(d),1.3929080963134766,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
734.0,Bar Chart,2,In which country is the average internet speed the fastest?,Country K,Find Extremum,"In which country is the average internet speed the fastest?

(a) Country C
(b) Country N
(c) Country A
(d) Country K",(b),0.5752730369567871,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
699.0,100% Stacked Bar Chart,1,What is the approval rating of Party B among the people who have the education level of Postgraduate Study?,76%,Retrieve value (relative value),"What is the approval rating of Party B among the people who have the education level of Postgraduate Study?

(a) 47%
(b) 53%
(c) 31%
(d) 76%",(d),0.6408841609954834,True,retrieve value,reVLAT_NoViz+Choices,ChatGPT
3622.0,Line Chart,1,What was the price of a barrel of Product A in Feburary 2015?,$45.61,Retrieve Value,"What was the price of a barrel of Product A in Feburary 2015?

(a) $58.31
(b) $50.28
(c) $54.67
(d) $45.61",(c),0.5355479717254639,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
3749.0,Treemap,2,The number of unique visitors for AN was more than that of AC in 2010.,True,Make Comparisons (relative value),"The number of unique visitors for AN was more than that of AC in 2010.

(a) True
(b) False",(b),0.6763770580291748,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
2488.0,100% Stacked Bar Chart,1,What is the approval rating of Party B among the people who have the education level of Postgraduate Study?,76%,Retrieve value (relative value),"What is the approval rating of Party B among the people who have the education level of Postgraduate Study?

(a) 31%
(b) 47%
(c) 76%
(d) 53%",(d),0.6792662143707275,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
1336.0,Bar Chart,2,In which country is the average internet speed the fastest?,Country K,Find Extremum,"In which country is the average internet speed the fastest?

(a) Country K
(b) Country N
(c) Country C
(d) Country A",(b),1.903879165649414,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
3149.0,Line Chart,2,In which month was the price of a barrel of Product A the lowest in 2015?,June,Find Extremum,"In which month was the price of a barrel of Product A the lowest in 2015?

(a) December
(b) September
(c) June
(d) March",(d),0.6793880462646484,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
4482.0,Bubble Chart,7,The metro system in City F has more ridership than the metro system in City A.,True,Make comparisons,"The metro system in City F has more ridership than the metro system in City A.

(a) False
(b) True",(b),0.9765760898590088,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
430.0,Bar Chart,2,In which country is the average internet speed the fastest?,Country K,Find Extremum,"In which country is the average internet speed the fastest?

(a) Country N
(b) Country A
(c) Country C
(d) Country K",(b),1.0327777862548828,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
3769.0,Bubble Chart,2,Which city's metro system has the largest number of stations?,City F,Find extremum,"Which city's metro system has the largest number of stations?

(a) City F
(b) City A
(c) City C
(d) City E",(b) City A,0.7612490653991699,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
1824.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),1.0186958312988281,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
2556.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) False
(b) True",(b),0.7881426811218262,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
