index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
4770.0,Line Chart,4,"Over the course of the second half of 2015, the price of a barrel of Product A was ___.",rising,Find Correlations/Trends,"Over the course of the second half of 2015, the price of a barrel of Product A was ___.

(a) rising
(b) falling
(c) staying",(b),1.1116678714752197,False,find correlations/trends,reVLAT_NoViz+Choices,ChatGPT
1653.0,Stacked Area Chart,6,"Over the course of years between 2009 and 2014, the number of people named 'Name B' was always more than 'Name C'.",False,Make Comparisons (relative value),"Over the course of years between 2009 and 2014, the number of people named 'Name B' was always more than 'Name C'.

(a) False
(b) True",(b),1.4203929901123047,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
3415.0,Bubble Chart,5,A group of the metro systems of the world has approximately 200 stations and around a 200 km system length.,False,Find clusters,"A group of the metro systems of the world has approximately 200 stations and around a 200 km system length.

(a) True
(b) False",(a),2.664525032043457,False,find clusters,reVLAT_NoViz+Choices,ChatGPT
3515.0,Bar Chart,1,What is the average internet speed in country F?,11.6 Mbps,Retrieve Value,"What is the average internet speed in country F?

(a) 7 Mbps
(b) 10.2 Mbps
(c) 11.6 Mbps
(d) 15 Mbps",(b),2.0536739826202393,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
16.0,Bar Chart,4,How many countries in Asia is the average Internet speed slower than Country J?,8 countries,Make Comparisons,"How many countries in Asia is the average Internet speed slower than Country J?

(a) 6 countries
(b) 11 countries
(c) 8 countries
(d) 7 countries",(b),2.7456929683685303,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
2353.0,Stacked Bar Chart,4,The cost of Product 4 in City E is higher than that of City A.,False,Make Comparisons (absolute value),"The cost of Product 4 in City E is higher than that of City A.

(a) True
(b) False",**(a)**,1.5161809921264648,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
4231.0,Line Chart,1,What was the price of a barrel of Product A in Feburary 2015?,$45.61,Retrieve Value,"What was the price of a barrel of Product A in Feburary 2015?

(a) $50.28
(b) $45.61
(c) $54.67
(d) $58.31",(d),0.846229076385498,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
255.0,Treemap,3,AE is nested in the Computer category.,False,Identify the Hierarchical Structure,"AE is nested in the Computer category.

(a) False
(b) True",(b),1.7653136253356934,False,identify the hierarchical structure,reVLAT_NoViz+Choices,ChatGPT
856.0,Bar Chart,3,What is the range of the average internet speed?,9.5 - 19 Mbps,Determine Range,"What is the range of the average internet speed?

(a) 2.5 - 16 Mbps
(b) 9.5 - 19 Mbps
(c) 0 - 20 Mbps
(d) 10 - 15 Mbps",(b),4.214475870132446,True,determine range,reVLAT_NoViz+Choices,ChatGPT
1470.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) False
(b) True",(b),0.8696498870849609,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
