index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
1479.0,Bubble Chart,7,The metro system in City F has more ridership than the metro system in City A.,True,Make comparisons,"The metro system in City F has more ridership than the metro system in City A.

(a) True
(b) False",(b),2.0606930255889893,False,make comparisons,reVLAT_Viz+Choices,ChatGPT
3329.0,Stacked Bar Chart,1,What is the cost of Product 3 in City B?,$4.00,Retrieve Value (absolute value),"What is the cost of Product 3 in City B?

(a) $4.00
(b) $12.00
(c) $9.00
(d) $9.50",(c) $9.00,3.7399041652679443,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
133.0,Stacked Area Chart,3,"Over the course of years between 2009 and 2014, when was the number of people named 'Name A' at the maximum?",2009,Find Extremum,"Over the course of years between 2009 and 2014, when was the number of people named 'Name A' at the maximum?

(a) 2012
(b) 2014
(c) 2009
(d) 2011",(a),1.7791118621826172,False,find extremum,reVLAT_Viz+Choices,ChatGPT
4217.0,Line Chart,4,"Over the course of the second half of 2015, the price of a barrel of Product A was ___.",rising,Find Correlations/Trends,"Over the course of the second half of 2015, the price of a barrel of Product A was ___.

(a) staying
(b) rising
(c) falling",(b),6.301444053649902,True,find correlations/trends,reVLAT_Viz+Choices,ChatGPT
240.0,Treemap,3,AE is nested in the Computer category.,False,Identify the Hierarchical Structure,"AE is nested in the Computer category.

(a) True
(b) False",(b),3.4478378295898438,True,identify the hierarchical structure,reVLAT_Viz+Choices,ChatGPT
3323.0,Stacked Area Chart,5,The number of people named 'Name A' in 2014 was more than it was in 2013.,True,Make Comparisons (absolute value),"The number of people named 'Name A' in 2014 was more than it was in 2013.

(a) True
(b) False",(b),1.7649779319763184,False,make comparisons,reVLAT_Viz+Choices,ChatGPT
1235.0,Bubble Chart,1,What is the total length of the metro system in City C?,330km,Retrieve Value,"What is the total length of the metro system in City C?

(a) 400km
(b) 530km
(c) 330km
(d) 560km",(b),1.9168579578399658,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
2861.0,Line Chart,2,In which month was the price of a barrel of Product A the lowest in 2015?,June,Find Extremum,"In which month was the price of a barrel of Product A the lowest in 2015?

(a) June
(b) March
(c) December
(d) September",(b),3.281688928604126,False,find extremum,reVLAT_Viz+Choices,ChatGPT
2301.0,Stacked Bar Chart,1,What is the cost of Product 3 in City B?,$4.00,Retrieve Value (absolute value),"What is the cost of Product 3 in City B?

(a) $4.00
(b) $12.00
(c) $9.00
(d) $9.50",(b) $12.00,2.5691959857940674,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
2168.0,Stacked Area Chart,2,About what was the ratio of the number of people named 'Name A' to those named 'Name B' in 2014?,1 to 2,Retrieve Value (relative value),"About what was the ratio of the number of people named 'Name A' to those named 'Name B' in 2014?

(a) 1 to 2
(b) 1 to 3
(c) 1 to 4
(d) 1 to 1",(a),1.526141881942749,True,retrieve value,reVLAT_Viz+Choices,ChatGPT
4788.0,Bubble Chart,4,Which city's metro system does lie outside the relationship between the total system length and the number of stations most?,City G,Find anomalies,"Which city's metro system does lie outside the relationship between the total system length and the number of stations most?

(a) City G
(b) City A
(c) City D
(d) City C",(a),2.1950950622558594,True,find anomalies,reVLAT_Viz+Choices,ChatGPT
2121.0,Bubble Chart,2,Which city's metro system has the largest number of stations?,City F,Find extremum,"Which city's metro system has the largest number of stations?

(a) City A
(b) City E
(c) City C
(d) City F",(d) City F,3.6599721908569336,True,find extremum,reVLAT_Viz+Choices,ChatGPT
3261.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 50%
(b) 15%
(c) 25%
(d) 33%",(b),-0.0007421970367431641,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
1989.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 15%
(b) 50%
(c) 25%
(d) 33%",(a),-0.0016620159149169922,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
3277.0,Bubble Chart,1,What is the total length of the metro system in City C?,330km,Retrieve Value,"What is the total length of the metro system in City C?

(a) 560km
(b) 400km
(c) 530km
(d) 330km",(c),3.0720622539520264,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
3907.0,Area Chart,3,What was the range of the average price of a pound of Product A between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,"What was the range of the average price of a pound of Product A between January 2013 and December 2014?

(a) $4.62 - $6.01
(b) $4.42 - $6.21
(c) $4.43 - $6.22
(d) $4.65 - $6.17",(b),1.9957160949707031,False,determine range,reVLAT_Viz+Choices,ChatGPT
1591.0,Treemap,2,The number of unique visitors for AN was more than that of AC in 2010.,True,Make Comparisons (relative value),"The number of unique visitors for AN was more than that of AC in 2010.

(a) False
(b) True",(b) True,2.294666051864624,True,make comparisons,reVLAT_Viz+Choices,ChatGPT
904.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) False
(b) True",(a),1.6918060779571533,True,make comparisons,reVLAT_Viz+Choices,ChatGPT
3849.0,Line Chart,4,"Over the course of the second half of 2015, the price of a barrel of Product A was ___.",rising,Find Correlations/Trends,"Over the course of the second half of 2015, the price of a barrel of Product A was ___.

(a) staying
(b) falling
(c) rising",(c),3.073143720626831,True,find correlations/trends,reVLAT_Viz+Choices,ChatGPT
1446.0,Stacked Bar Chart,2,About what is the ratio of the cost of Product 5 to the total cost of room service in City J?,1 to 10,Retrieve Value (relative value),"About what is the ratio of the cost of Product 5 to the total cost of room service in City J?

(a) 1 to 4
(b) 4 to 10
(c) 1 to 10
(d) 1 to 5",(b),1.9010932445526123,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
2853.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) True
(b) False",(b),1.6451079845428467,True,make comparisons,reVLAT_Viz+Choices,ChatGPT
2737.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company C
(b) Company F
(c) Company E
(d) Others",(a),-0.0019378662109375,False,find extremum,reVLAT_Viz+Choices,ChatGPT
523.0,Area Chart,3,What was the range of the average price of a pound of Product A between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,"What was the range of the average price of a pound of Product A between January 2013 and December 2014?

(a) $4.65 - $6.17
(b) $4.62 - $6.01
(c) $4.42 - $6.21
(d) $4.43 - $6.22",(a),3.4803078174591064,True,determine range,reVLAT_Viz+Choices,ChatGPT
1281.0,Stacked Bar Chart,5,The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.,False,Make Comparisons (relative value),"The ratio of the cost of Product 3 to the cost of Product 4 in City B is higher than that of City I.

(a) False
(b) True",(a),2.764464855194092,True,make comparisons,reVLAT_Viz+Choices,ChatGPT
3892.0,Bubble Chart,7,The metro system in City F has more ridership than the metro system in City A.,True,Make comparisons,"The metro system in City F has more ridership than the metro system in City A.

(a) False
(b) True",(a),2.479719877243042,False,make comparisons,reVLAT_Viz+Choices,ChatGPT
1520.0,Bar Chart,1,What is the average internet speed in country F?,11.6 Mbps,Retrieve Value,"What is the average internet speed in country F?

(a) 10.2 Mbps
(b) 15 Mbps
(c) 7 Mbps
(d) 11.6 Mbps",(b),1.761686086654663,False,retrieve value,reVLAT_Viz+Choices,ChatGPT
13.0,Bubble Chart,4,Which city's metro system does lie outside the relationship between the total system length and the number of stations most?,City G,Find anomalies,"Which city's metro system does lie outside the relationship between the total system length and the number of stations most?

(a) City D
(b) City G
(c) City A
(d) City C",(a) City D,4.10236382484436,False,find anomalies,reVLAT_Viz+Choices,ChatGPT
1922.0,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,"What is the range of the total length of the metro systems?

(a) 190 - 530km
(b) 150 - 600km
(c) 240 - 380km
(d) 240 - 560km",(a),4.287564039230347,True,determine range,reVLAT_Viz+Choices,ChatGPT
3817.0,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,"What is the range of the total length of the metro systems?

(a) 190 - 530km
(b) 150 - 600km
(c) 240 - 560km
(d) 240 - 380km",(b),3.0714848041534424,False,determine range,reVLAT_Viz+Choices,ChatGPT
