index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
179.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company C
(b) Company E
(c) Company F
(d) Others",(d),0.8095889091491699,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
143.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),0.636066198348999,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
340.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),1.0214557647705078,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
332.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 25%
(b) 15%
(c) 50%
(d) 33%",(b),0.6917109489440918,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
131.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 50%
(b) 33%
(c) 15%
(d) 25%",(c),1.098879098892212,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
14.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),1.1572978496551514,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
313.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 33%
(b) 50%
(c) 25%
(d) 15%",(c) 25%,0.7630021572113037,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
162.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),0.6299960613250732,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
8.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 50%
(b) 15%
(c) 25%
(d) 33%",(b),0.9068868160247803,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
203.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),0.9346561431884766,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
107.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),0.6137888431549072,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
88.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) False
(b) True",(b) True,0.7897729873657227,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
50.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),1.0598208904266357,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
262.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company C
(b) Company F
(c) Company E
(d) Others",(d),0.5701630115509033,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
22.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 15%
(b) 50%
(c) 25%
(d) 33%",(a),0.8752849102020264,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
40.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company C
(b) Others
(c) Company F
(d) Company E",(b),1.1466002464294434,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
339.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 25%
(b) 15%
(c) 33%
(d) 50%",(b),0.5973930358886719,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
314.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Others
(b) Company E
(c) Company F
(d) Company C",(b) Company E,0.6146769523620605,True,find extremum,reVLAT_NoViz+Choices,ChatGPT
129.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company E
(b) Company C
(c) Company F
(d) Others",(d),0.8193352222442627,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
117.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company E
(b) Company F
(c) Others
(d) Company C",(c),0.7813513278961182,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
213.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company C
(b) Company F
(c) Company E
(d) Others",(d),0.9124491214752197,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
248.0,Pie Chart,2,In which company is the global company market share the smallest?,Company E,Find Extremum (relative value),"In which company is the global company market share the smallest?

(a) Company C
(b) Others
(c) Company F
(d) Company E",(b),0.6411480903625488,False,find extremum,reVLAT_NoViz+Choices,ChatGPT
283.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 33%
(b) 15%
(c) 25%
(d) 50%",(a),0.5445430278778076,True,retrieve value,reVLAT_NoViz+Choices,ChatGPT
310.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) True
(b) False",(b),0.8558430671691895,False,make comparisons,reVLAT_NoViz+Choices,ChatGPT
236.0,Pie Chart,3,The global compnay market share of Company B is larger than that of Company E.,True,Make Comparisons (relative value),"The global compnay market share of Company B is larger than that of Company E.

(a) False
(b) True",(b) True,0.7226638793945312,True,make comparisons,reVLAT_NoViz+Choices,ChatGPT
140.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 50%
(b) 25%
(c) 15%
(d) 33%",(b),1.003816843032837,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
244.0,Pie Chart,1,About what is the global smartphone market share of Company A?,33%,Retrieve Value (relative value),"About what is the global smartphone market share of Company A?

(a) 50%
(b) 25%
(c) 15%
(d) 33%",(b),0.788844108581543,False,retrieve value,reVLAT_NoViz+Choices,ChatGPT
